wave;value
180;230,18
180,2584;197,64
180,5168;213,21
180,77519;237,34
181,03359;216,98
181,29199;168,89
181,55039;161,98
181,80879;151,34
182,06718;150,66
182,32558;196,58
182,58398;239,61
182,84238;225,91
183,10078;200,69
183,35917;212,81
183,61757;249,08
183,87597;250,54
184,13437;219,7
184,39276;251,95
184,65116;288,76
184,90956;265,79
185,16796;199,3
185,42636;194,84
185,68475;205,47
185,94315;151,42
186,20155;89,38
186,45995;101,56
186,71835;133,17
186,97674;109
187,23514;84,91
187,49354;124,68
187,75194;133,86
188,01034;125,07
188,26873;156,49
188,52713;200,33
188,78553;194,41
189,04393;162,53
189,30233;176,48
189,56072;195,9
189,81912;173,29
190,07752;139,77
190,33592;180,1
190,59432;233,99
190,85271;221,51
191,11111;199,17
191,36951;233,34
191,62791;256,72
191,8863;202,86
192,1447;150,89
192,4031;154,68
192,6615;164,4
192,9199;154,72
193,17829;193,91
193,43669;238,98
193,69509;224,27
193,95349;186,39
194,21189;209,65
194,47028;253,77
194,72868;244,17
194,98708;208,95
195,24548;212,74
195,50388;207,19
195,76227;159,39
196,02067;105,71
196,27907;129,38
196,53747;183,75
196,79587;177,6
197,05426;133,95
197,31266;135,01
197,57106;157,25
197,82946;144,1
198,08786;125,89
198,34625;171,02
198,60465;193,45
198,86305;188,99
199,12145;208,76
199,37984;216,99
199,63824;168,16
199,89664;117,52
200,15504;125,98
200,41344;159,75
200,67183;142,8
200,93023;129,1
201,18863;161,8
201,44703;175,34
201,70543;162,4
201,96382;149,63
202,22222;206,77
202,48062;258,45
202,73902;248,25
202,99742;221,78
203,25581;250,38
203,51421;274,87
203,77261;219,65
204,03101;206,82
204,28941;194,57
204,5478;133,51
204,8062;73,07
205,0646;85,76
205,323;129,38
205,5814;121,06
205,83979;77,32
206,09819;89,16
206,35659;110,46
206,61499;92,7
206,87339;66,91
207,13178;121,39
207,39018;190,34
207,64858;177,95
207,90698;135,14
208,16537;169,78
208,42377;214,91
208,68217;179,69
208,94057;205,64
209,19897;249,56
209,45736;236,79
209,71576;203,08
209,97416;213,5
210,23256;219,99
210,49096;198,5
210,74935;185,25
211,00775;194,41
211,26615;225,18
211,52455;196,16
211,78295;137,58
212,04134;132,72
212,29974;170,74
212,55814;155,61
212,81654;124,42
213,07494;132,45
213,33333;159,27
213,59173;141,31
213,85013;160,37
214,10853;192,53
214,36693;161,18
214,62532;117,47
214,88372;121,06
215,14212;124,8
215,40052;116,45
215,65891;102,13
215,91731;139,23
216,17571;197,75
216,43411;219,54
216,69251;224,97
216,9509;235,99
217,2093;251,55
217,4677;246,81
217,7261;212,91
217,9845;210,9
218,24289;167,19
218,50129;122,95
218,75969;117,97
219,01809;142,97
219,27649;131,88
219,53488;106,56
219,79328;113,66
220,05168;124,19
220,31008;107,37
220,56848;81,71
220,82687;123,01
221,08527;165,03
221,34367;159,09
221,60207;158,16
221,86047;193,44
222,11886;232,47
222,37726;227,94
222,63566;280,42
222,89406;306,83
223,15245;254,37
223,41085;200,04
223,66925;183,58
223,92765;193,42
224,18605;165,58
224,44444;138,38
224,70284;176,31
224,96124;220,28
225,21964;187,19
225,47804;162,68
225,73643;184,33
225,99483;222,32
226,25323;201,31
226,51163;145,93
226,77003;158,76
227,02842;154,21
227,28682;137,96
227,54522;158,35
227,80362;196,01
228,06202;186,43
228,32041;148,92
228,57881;166,48
228,83721;207,92
229,09561;206,22
229,35401;193,75
229,6124;211,45
229,8708;253,63
