wave;value
1030,1292;454,79
1030,3876;407,17
1030,64599;332,07
1030,90439;362,53
1031,16279;443,75
1031,42119;443,78
1031,67959;363,1
1031,93798;365,6
1032,19638;390,09
1032,45478;334,75
1032,71318;270,43
1032,97158;219,94
1033,22997;289,68
1033,48837;375,54
1033,74677;360,43
1034,00517;311,75
1034,26357;362,23
1034,52196;409,18
1034,78036;370,49
1035,03876;293,82
1035,29716;320,64
1035,55556;369,37
1035,81395;344,48
1036,07235;281,43
1036,33075;286,38
1036,58915;322,44
1036,84755;305,36
1037,10594;281,09
1037,36434;309,9
1037,62274;355,05
1037,88114;342,51
1038,13953;281,71
1038,39793;297,58
1038,65633;347,71
1038,91473;393,88
1039,17313;349,46
1039,43152;285,92
1039,68992;292,68
1039,94832;342,22
1040,20672;324,32
1040,46512;287,63
1040,72351;299,14
1040,98191;336,15
1041,24031;293,71
1041,49871;228,74
1041,75711;251,72
1042,0155;307,37
1042,2739;301,23
1042,5323;263,44
1042,7907;299,08
1043,0491;364,36
1043,30749;337,85
1043,56589;271,87
1043,82429;278,94
1044,08269;324,36
1044,34109;299,07
1044,59948;262,42
1044,85788;230,57
1045,11628;274,69
1045,37468;342,54
1045,63307;341,09
1045,89147;306,76
1046,14987;345,51
1046,40827;374,84
1046,66667;333,92
1046,92506;272,6
1047,18346;278,46
1047,44186;313,28
1047,70026;281,19
1047,95866;234,55
1048,21705;271,08
1048,47545;304,58
1048,73385;289,39
1048,99225;264,65
1049,25065;284,7
1049,50904;338,48
1049,76744;323,7
1050,02584;303,71
1050,28424;376,8
1050,54264;435,72
1050,80103;476,37
1051,05943;426,07
1051,31783;346,54
1051,57623;319,29
1051,83463;330,74
1052,09302;312,95
1052,35142;271,81
1052,60982;311,84
1052,86822;372,23
1053,12661;374,25
1053,38501;342,11
1053,64341;351,01
1053,90181;379,23
1054,16021;363,88
1054,4186;338,18
1054,677;386,22
1054,9354;415,63
1055,1938;364,79
1055,4522;302,93
1055,71059;310,17
1055,96899;346,92
1056,22739;326,78
1056,48579;275,8
1056,74419;317,05
1057,00258;371,05
1057,26098;392,72
1057,51938;345,22
1057,77778;304,59
1058,03618;346,38
1058,29457;405,59
1058,55297;371,72
1058,81137;300,83
1059,06977;311,07
1059,32817;336,6
1059,58656;290,15
1059,84496;223,19
1060,10336;238,67
1060,36176;299,52
1060,62016;297,15
1060,87855;266,51
1061,13695;307,55
1061,39535;348,26
1061,65375;332,39
1061,91214;287,78
1062,17054;310,6
1062,42894;352,81
1062,68734;343,5
1062,94574;284,33
1063,20413;227,49
1063,46253;240,76
1063,72093;257,62
1063,97933;239,63
1064,23773;206,09
1064,49612;239,74
1064,75452;303,14
1065,01292;288,61
1065,27132;257,32
1065,52972;297,28
1065,78811;361,4
1066,04651;341,89
1066,30491;311,95
1066,56331;336,31
1066,82171;371,66
1067,0801;360,04
1067,3385;316,55
1067,5969;332,92
1067,8553;374,7
1068,1137;360,82
1068,37209;352,17
1068,63049;412,12
1068,88889;452,37
1069,14729;405,93
1069,40568;349,43
1069,66408;296,61
1069,92248;339,43
1070,18088;372,57
1070,43928;325,69
1070,69767;259,5
1070,95607;280,69
1071,21447;317,05
1071,47287;286,03
1071,73127;219,18
1071,98966;259,28
1072,24806;309,23
1072,50646;280,67
1072,76486;242,51
1073,02326;305,97
1073,28165;380,5
1073,54005;341,23
1073,79845;268,37
1074,05685;267,68
1074,31525;314,84
1074,57364;275,89
1074,83204;226,11
1075,09044;275,56
1075,34884;315,7
1075,60724;279,86
1075,86563;233,98
1076,12403;228,8
1076,38243;317,71
1076,64083;396,07
1076,89922;374,66
1077,15762;325,22
1077,41602;348,71
1077,67442;364,27
1077,93282;325,35
1078,19121;275,72
1078,44961;306,4
1078,70801;360,98
1078,96641;388,27
1079,22481;401,92
1079,4832;401,92
1079,7416;401,92
1080;279,05
