TestWave;RefWave;Durchschnittswert;value;BefallErgebnis
600,15504;599,8966675;3761,8033039999996;1998,26;N
600,15504;600,1550293;3717,422770333333;1998,26;N
600,15504;600,4134521;3627,508707333333;1998,26;N
600,15504;599,8966675;6493,735677;1998,26;T
600,15504;600,1550293;6434,661295333334;1998,26;T
600,15504;600,4134521;6343,403645666666;1998,26;T
600,15504;599,8966675;9874,956054666667;1998,26;T
600,15504;599,8966675;2717,787760333333;1998,26;N
600,15504;600,1550293;9824,624023666665;1998,26;T
600,15504;600,1550293;2665,0411783333334;1998,26;N
600,15504;600,4134521;9734,931640666668;1998,26;T
600,15504;600,4134521;2586,581055;1998,26;N
600,15504;599,8966675;6287,296061;1998,26;T
600,15504;600,1550293;6227,615397333334;1998,26;T
600,15504;600,4134521;6139,011718666668;1998,26;T
600,15504;599,8966675;7052,845703;1998,26;T
600,15504;600,1550293;6992,188150999999;1998,26;T
600,15504;600,4134521;6903,648112;1998,26;T
600,15504;599,8966675;9392,246419333333;1998,26;T
600,15504;599,8966675;4861,144043;1998,26;T
600,15504;600,1550293;9329,865885666666;1998,26;T
600,15504;600,1550293;4808,749349000001;1998,26;T
600,15504;600,4134521;9236,597005333335;1998,26;T
600,15504;600,4134521;4733,2861330000005;1998,26;T
600,15504;599,8966675;5730,373047;1998,26;T
600,15504;599,8966675;4848,616536666667;1998,26;T
600,15504;600,1550293;5678,193847666666;1998,26;T
600,15504;600,1550293;4786,521321666666;1998,26;T
600,15504;600,4134521;5604,596028666667;1998,26;T
600,15504;600,4134521;4697,389648666666;1998,26;T
600,15504;599,8966675;7277,906657333333;1998,26;T
600,15504;600,1550293;7218,790609;1998,26;T
600,15504;600,4134521;7145,6358236666665;1998,26;T
600,15504;599,8966675;1532,84033213;1998,26;N
600,15504;600,1550293;1535,7857932466666;1998,26;N
600,15504;600,4134521;1520,9558080199997;1998,26;N
600,15504;599,8966675;3822,9191893333336;1998,26;N
600,15504;600,1550293;3779,7032063333336;1998,26;N
600,15504;600,4134521;3720,389404333333;1998,26;N
600,15504;599,8966675;3350,441080666666;1998,26;N
600,15504;600,1550293;3322,476643666667;1998,26;N
600,15504;600,4134521;3259,0799153333332;1998,26;N
600,15504;599,8966675;2302,8673096666666;1998,26;N
600,15504;599,8966675;4537,305501333333;1998,26;T
600,15504;600,1550293;2264,155883666667;1998,26;N
600,15504;600,1550293;4499,0127766666665;1998,26;T
600,15504;600,4134521;2203,0828043333336;1998,26;N
600,15504;600,4134521;4430,562337;1998,26;T
600,15504;599,8966675;2354,6887206666665;1998,26;N
600,15504;600,1550293;2321,5556636666665;1998,26;N
600,15504;600,4134521;2270,2194416666666;1998,26;N
600,15504;599,8966675;3282,639974;1998,26;N
600,15504;599,8966675;7382,354004;1998,26;T
600,15504;600,1550293;3245,1873373333333;1998,26;N
600,15504;600,1550293;7328,196614666667;1998,26;T
600,15504;600,4134521;3188,5095213333334;1998,26;N
600,15504;600,4134521;7255,854655333333;1998,26;T
600,15504;599,8966675;12322,23405;1998,26;T
600,15504;600,1550293;12265,152996666666;1998,26;T
600,15504;600,4134521;12154,888019999999;1998,26;T
600,15504;599,8966675;534,4247843333334;1998,26;T
600,15504;600,1550293;518,8213399333333;1998,26;T
600,15504;600,4134521;482,0209554333333;1998,26;T
600,15504;599,8966675;571,7044677666667;1998,26;T
600,15504;599,8966675;3836,702636666667;1998,26;N
600,15504;600,1550293;551,0292765666667;1998,26;T
600,15504;600,1550293;3784,7565916666667;1998,26;N
600,15504;600,4134521;511,02567543333333;1998,26;T
600,15504;600,4134521;3683,8771973333337;1998,26;N
600,15504;599,8966675;12434,161133333335;1998,26;T
600,15504;600,1550293;12370,075846666667;1998,26;T
