TestWave;RefWave;Durchschnittswert;value;BefallErgebnis
180,0;180,0;126,44146983666667;230,18;T
180,0;180,2584076;121,52746582333333;230,18;T
180,0;180,0;125,35857136666665;230,18;T
180,0;180,2584076;127,08453116666665;230,18;T
180,0;180,0;68,47143300666667;230,18;T
180,0;180,0;95,08589934999999;230,18;T
180,0;180,2584076;73,00930150333333;230,18;T
180,0;180,2584076;100,30019886999999;230,18;T
180,0;180,0;105,16870117333333;230,18;T
180,0;180,2584076;108,87239836666667;230,18;T
180,0;180,0;125,7255961;230,18;T
180,0;180,2584076;125,01580046666668;230,18;T
180,0;180,0;129,69622800000002;230,18;T
180,0;180,0;93,73910013666666;230,18;T
180,0;180,2584076;134,92873126666666;230,18;T
180,0;180,2584076;104,44676464000001;230,18;T
180,0;180,0;41,459601086666666;230,18;T
180,0;180,0;127,4849294;230,18;T
180,0;180,2584076;51,20266723666666;230,18;T
180,0;180,2584076;128,29483793333335;230,18;T
180,0;180,0;2,1415332953333333;230,18;T
180,0;180,2584076;2,4660998983333333;230,18;T
180,0;180,0;25,871301013333333;230,18;T
180,0;180,2584076;26,61749903333333;230,18;T
180,0;180,0;21,503299713333334;230,18;T
180,0;180,2584076;24,202967006666665;230,18;T
180,0;180,0;38,113834383333334;230,18;T
180,0;180,2584076;41,74776586;230,18;T
180,0;180,0;18,897666293333334;230,18;T
180,0;180,0;52,25219981;230,18;T
180,0;180,2584076;19,43760045;230,18;T
180,0;180,2584076;54,51810201;230,18;T
180,0;180,0;16,264733633333336;230,18;T
180,0;180,2584076;17,80263297;230,18;T
180,0;180,0;23,95423412;230,18;T
180,0;180,0;29,262567519999994;230,18;T
180,0;180,2584076;23,220166523333333;230,18;T
180,0;180,2584076;33,90356763333333;230,18;T
180,0;180,0;53,82650121;230,18;T
180,0;180,2584076;63,97300211666667;230,18;T
180,0;180,0;148,9973297;230,18;T
180,0;180,2584076;146,8406321;230,18;T
180,0;180,0;151,30873616666665;230,18;T
180,0;180,0;146,1126353;230,18;T
180,0;180,2584076;146,95590716666666;230,18;T
180,0;180,2584076;145,97613526666666;230,18;T
180,0;180,0;133,2209676;230,18;T
180,0;180,2584076;132,85696916666666;230,18;T
180,0;180,0;151,62117003333333;230,18;T
180,0;180,2584076;148,12069703333333;230,18;T
180,0;180,0;149,7860057;230,18;T
180,0;180,2584076;144,8689626;230,18;T
180,0;180,0;55,33103179666667;230,18;T
180,0;180,2584076;62,74753189333333;230,18;T
180,0;180,0;96,04746755000001;230,18;T
180,0;180,2584076;101,21323141333333;230,18;T
180,0;180,0;58,29460016666667;230,18;T
